"Question","Answer"
"hi","Hello! I’m your study helper. What do you need?"
"hii","Hello! I’m your study helper. What do you need?"
"hello","Hi there. Ask me about the project, AI, data science, or school topics."
"hey","Hello! I’m ready when you are."
"what can you do","I can answer simple questions about the chatbot project, ML basics, and study help."
"who are you","I’m a lightweight web chatbot built with Python and machine learning."
"what is machine learning","Machine learning is the process of teaching computers to learn patterns from data."
"what is ai","AI means Artificial Intelligence. It is about making machines act intelligently."
"what is data science","Data science is the field of working with data to find useful patterns and insights."
"what is python","Python is a popular programming language used for web apps, automation, and AI."
"what is flask","Flask is a small Python web framework for building web applications."
"what is scikit-learn","Scikit-learn is a Python library for machine learning and text classification."
"what is tfidf","TF-IDF turns text into numbers based on important words."
"what is logistic regression","Logistic regression is a classification algorithm used to predict categories."
"what is a chatbot","A chatbot is a program that responds to messages automatically."
"how are you","I’m doing well and ready to help."
"thank you","You’re welcome."
"thanks","Anytime. Ask another question if you want."
"bye","Goodbye. Come back if you need more help."
"what is your purpose","My purpose is to answer simple chatbot and study-related questions."
"can you help with project","Yes. I can help you with the chatbot project structure and ideas."
"how to run the app","Run python app.py after installing the requirements."
"what is web app","A web app is an application that runs in a browser."
"what is frontend","Frontend is the part users see and interact with."
"what is backend","Backend is the server-side part that handles logic and data."
"what is nlp","NLP stands for Natural Language Processing. It helps computers understand text."
"what is tokenization","Tokenization means splitting text into smaller parts called tokens."
"what is classification","Classification means assigning an input to one of several labels."
"what if you do not know","If I’m not sure, I will ask you to rephrase the question."
"what is power bi","Power BI is a Microsoft business intelligence tool used for creating dashboards, reports, and data visualizations."
"power bi","Power BI is a Microsoft business intelligence tool used for creating dashboards, reports, and data visualizations."
"what can power bi do","Power BI can connect to data sources, clean and model data, and build interactive charts and dashboards."
"tell me about power bi","Power BI is a Microsoft business intelligence tool used for creating dashboards, reports, and data visualizations."
